MsgID.GLOBAL_HOME,1522138464.8047721,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522138464.9726601,-122.3973338,37.7925727,0.1940000
MsgID.LOCAL_VELOCITY,1522138464.9726601,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138465.0349319,10.3078537,10.3459864,-0.1861718
MsgID.LOCAL_VELOCITY,1522138465.0349319,0.0000323,0.0000144,0.0000098
MsgID.GLOBAL_POSITION,1522138465.2228999,-122.3973323,37.7925722,0.1600000
MsgID.LOCAL_VELOCITY,1522138465.2228999,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138465.2844081,10.2090702,10.4535551,-0.1515479
MsgID.LOCAL_VELOCITY,1522138465.2844081,0.0000180,-0.0000364,0.0000097
MsgID.GLOBAL_POSITION,1522138465.4730630,-122.3973343,37.7925709,0.1270000
MsgID.LOCAL_VELOCITY,1522138465.4730630,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138465.5361819,10.0898275,10.2106981,-0.1186467
MsgID.LOCAL_VELOCITY,1522138465.5361819,0.0000060,-0.0000528,0.0000129
MsgID.GLOBAL_POSITION,1522138465.7230010,-122.3973345,37.7925704,0.0930000
MsgID.LOCAL_VELOCITY,1522138465.7230010,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138465.7862220,10.0356054,10.3185968,-0.0871126
MsgID.LOCAL_VELOCITY,1522138465.7862220,0.0000054,-0.0000483,0.0000068
MsgID.STATE,1522138465.8061750,True,True
MsgID.GLOBAL_HOME,1522138465.8065641,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522138465.9728930,-122.3973324,37.7925702,0.0690000
MsgID.LOCAL_VELOCITY,1522138465.9728930,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138466.0355489,10.0336685,10.4499350,-0.0639765
MsgID.LOCAL_VELOCITY,1522138466.0355489,0.0000164,-0.0000506,-0.0000113
MsgID.GLOBAL_POSITION,1522138466.2225010,-122.3973334,37.7925712,0.0510000
MsgID.LOCAL_VELOCITY,1522138466.2225010,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138466.2860091,10.1985273,10.3211927,-0.0493102
MsgID.LOCAL_VELOCITY,1522138466.2860091,0.0000010,0.0000641,0.0000333
MsgID.GLOBAL_POSITION,1522138466.4719789,-122.3973352,37.7925726,0.0450000
MsgID.LOCAL_VELOCITY,1522138466.4719789,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138466.5355589,10.3067446,10.1656208,-0.0451419
MsgID.LOCAL_VELOCITY,1522138466.5355589,0.0000263,-0.0000200,0.0000076
MsgID.GLOBAL_POSITION,1522138466.7229700,-122.3973353,37.7925727,0.0470000
MsgID.LOCAL_VELOCITY,1522138466.7229700,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522138466.7868659,10.2972422,10.2189083,-0.0489578
MsgID.LOCAL_VELOCITY,1522138466.7868659,0.0000063,-0.0000543,0.0000134
MsgID.STATE,1522138466.8045690,True,True
